Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9r-5d9SEFTPV56XU Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/tar/TarFileTest.java - startLine: 233;startOffset: 16;endOffset: 31;endLine: 233,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9r8Dd9SEFTPV56Ra Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/zip/ZipArchiveInputStreamTest.java - startLine: 383;startOffset: 16;endOffset: 35;endLine: 383,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9r8Dd9SEFTPV56Rc Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/zip/ZipArchiveInputStreamTest.java - startLine: 670;startOffset: 16;endOffset: 41;endLine: 670,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9r6Ld9SEFTPV56O4 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/zip/ZipFileIgnoringLocalFileHeaderTest.java - startLine: 96;startOffset: 16;endOffset: 32;endLine: 96,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9sJud9SEFTPV56i3 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/changes/ChangeSetTestCase.java - startLine: 253;startOffset: 16;endOffset: 33;endLine: 253,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9sJud9SEFTPV56i4 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/changes/ChangeSetTestCase.java - startLine: 887;startOffset: 16;endOffset: 35;endLine: 887,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9sF0d9SEFTPV56eo Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/compressors/BZip2TestCase.java - startLine: 35;startOffset: 16;endOffset: 34;endLine: 35,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9sFad9SEFTPV56eL Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/compressors/DeflateTestCase.java - startLine: 73;startOffset: 16;endOffset: 38;endLine: 73,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9sH1d9SEFTPV56hJ Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/compressors/GZipTestCase.java - startLine: 143;startOffset: 16;endOffset: 32;endLine: 143,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9sH1d9SEFTPV56hK Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/compressors/GZipTestCase.java - startLine: 154;startOffset: 16;endOffset: 33;endLine: 154,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9sFtd9SEFTPV56eg Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/compressors/LZMATestCase.java - startLine: 81;startOffset: 16;endOffset: 33;endLine: 81,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9sFtd9SEFTPV56eh Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/compressors/LZMATestCase.java - startLine: 92;startOffset: 16;endOffset: 50;endLine: 92,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9sIvd9SEFTPV56h7 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/compressors/Pack200TestCase.java - startLine: 189;startOffset: 16;endOffset: 50;endLine: 189,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9sIvd9SEFTPV56h8 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/compressors/Pack200TestCase.java - startLine: 194;startOffset: 16;endOffset: 47;endLine: 194,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9sIvd9SEFTPV56h9 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/compressors/Pack200TestCase.java - startLine: 199;startOffset: 16;endOffset: 43;endLine: 199,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9sIvd9SEFTPV56h- Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/compressors/Pack200TestCase.java - startLine: 204;startOffset: 16;endOffset: 43;endLine: 204,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9sIvd9SEFTPV56h_ Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/compressors/Pack200TestCase.java - startLine: 209;startOffset: 16;endOffset: 39;endLine: 209,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9sJDd9SEFTPV56ic Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/compressors/XZTestCase.java - startLine: 60;startOffset: 16;endOffset: 30;endLine: 60,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9sJDd9SEFTPV56id Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/compressors/XZTestCase.java - startLine: 73;startOffset: 16;endOffset: 31;endLine: 73,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9sE5d9SEFTPV56dl Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/compressors/snappy/FramedSnappyCompressorInputStreamTest.java - startLine: 60;startOffset: 16;endOffset: 27;endLine: 60,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9sEHd9SEFTPV56c0 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/compressors/zstandard/ZstdCompressorInputStreamTest.java - startLine: 123;startOffset: 16;endOffset: 38;endLine: 123,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9r2bd9SEFTPV56Il Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/harmony/pack200/tests/ArchiveTest.java - startLine: 120;startOffset: 16;endOffset: 42;endLine: 120,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9r23d9SEFTPV56JC Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/harmony/pack200/tests/PackingOptionsTest.java - startLine: 628;startOffset: 16;endOffset: 33;endLine: 628,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9r19d9SEFTPV56H0 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/harmony/unpack200/tests/ArchiveTest.java - startLine: 111;startOffset: 16;endOffset: 37;endLine: 111,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9r19d9SEFTPV56H1 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/harmony/unpack200/tests/ArchiveTest.java - startLine: 229;startOffset: 16;endOffset: 35;endLine: 229,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9r19d9SEFTPV56H2 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/harmony/unpack200/tests/ArchiveTest.java - startLine: 240;startOffset: 16;endOffset: 26;endLine: 240,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9r19d9SEFTPV56H3 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/harmony/unpack200/tests/ArchiveTest.java - startLine: 251;startOffset: 16;endOffset: 30;endLine: 251,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9r19d9SEFTPV56H4 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/harmony/unpack200/tests/ArchiveTest.java - startLine: 263;startOffset: 16;endOffset: 34;endLine: 263,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9r19d9SEFTPV56H5 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/harmony/unpack200/tests/ArchiveTest.java - startLine: 276;startOffset: 16;endOffset: 31;endLine: 276,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9r19d9SEFTPV56H6 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/harmony/unpack200/tests/ArchiveTest.java - startLine: 287;startOffset: 16;endOffset: 33;endLine: 287,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9r19d9SEFTPV56H7 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/harmony/unpack200/tests/ArchiveTest.java - startLine: 355;startOffset: 16;endOffset: 29;endLine: 355,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9r1Yd9SEFTPV56HJ Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/harmony/unpack200/tests/BcBandsTest.java - startLine: 350;startOffset: 16;endOffset: 30;endLine: 350,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9r1Yd9SEFTPV56HK Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/harmony/unpack200/tests/BcBandsTest.java - startLine: 356;startOffset: 16;endOffset: 33;endLine: 356,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9r1Ld9SEFTPV56G7 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/harmony/unpack200/tests/SegmentTest.java - startLine: 106;startOffset: 16;endOffset: 33;endLine: 106,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9r1Ld9SEFTPV56G8 Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/harmony/unpack200/tests/SegmentTest.java - startLine: 116;startOffset: 16;endOffset: 33;endLine: 116,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9r4Id9SEFTPV56KT Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/utils/SeekableInMemoryByteChannelTest.java - startLine: 245;startOffset: 16;endOffset: 77;endLine: 245,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9r4Id9SEFTPV56KV Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/utils/SeekableInMemoryByteChannelTest.java - startLine: 282;startOffset: 16;endOffset: 79;endLine: 282,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9r2vd9SEFTPV56I- Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/harmony/pack200/tests/Compress626Test.java - startLine: 47;startOffset: 13;endOffset: 20;endLine: 47,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9r_kd9SEFTPV56Zm Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/archivers/jar/ExpandApkTest.java - startLine: 40;startOffset: 16;endOffset: 20;endLine: 40,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AYfl9r1nd9SEFTPV56Hp Path: org.apache.commons_commons-compress:src/test/java/org/apache/commons/compress/harmony/unpack200/tests/Codec_decodeInts_OutOfMemoryErrorTest.java - startLine: 72;startOffset: 16;endOffset: 20;endLine: 72,Maintenance (Code Smells)
